Fecha ,Tasa ,IPC
26/04/2009,2283.20,71.38
27/04/2009,2283.20,71.38
28/04/2009,2325.02,71.38
29/04/2009,2332.47,71.38
30/04/2009,2289.73,71.38
1/05/2009,2288.64,71.39
2/05/2009,2288.64,71.39
3/05/2009,2288.64,71.39
4/05/2009,2288.64,71.39
5/05/2009,2272.55,71.39
6/05/2009,2256.99,71.39
7/05/2009,2233.50,71.39
8/05/2009,2208.98,71.39
9/05/2009,2210.35,71.39
10/05/2009,2210.35,71.39
11/05/2009,2210.35,71.39
12/05/2009,2220.92,71.39
13/05/2009,2221.40,71.39
14/05/2009,2257.36,71.39
15/05/2009,2251.53,71.39
16/05/2009,2252.80,71.39
17/05/2009,2252.80,71.39
